id,dataset,ts,time,order_type,order_side,price,qty
60,Ag(T+D)@sg,1522411915000,2018-03-30 20:11:55.000000,LIMIT,BID,3593.0,10
61,Ag(T+D)@sg,1522411925000,2018-03-30 20:12:05.000000,LIMIT,BID,3593.0,10
62,Ag(T+D)@sg,1522411935000,2018-03-30 20:12:15.000000,LIMIT,BID,3593.0,10
63,Ag(T+D)@sg,1522411945000,2018-03-30 20:12:25.000000,LIMIT,BID,3593.0,10
64,Ag(T+D)@sg,1522411955000,2018-03-30 20:12:35.000000,LIMIT,BID,3593.0,10
65,Ag(T+D)@sg,1522411965000,2018-03-30 20:12:45.000000,LIMIT,BID,3593.0,10
66,Ag(T+D)@sg,1522411975000,2018-03-30 20:12:55.000000,LIMIT,BID,3593.0,10
67,Ag(T+D)@sg,1522411985000,2018-03-30 20:13:05.000000,LIMIT,BID,3593.0,10
68,Ag(T+D)@sg,1522411995000,2018-03-30 20:13:15.000000,LIMIT,ASK,3594.0,10
69,Ag(T+D)@sg,1522412005000,2018-03-30 20:13:25.000000,LIMIT,ASK,3594.0,10
70,Ag(T+D)@sg,1522412015000,2018-03-30 20:13:35.000000,LIMIT,ASK,3594.0,10
71,Ag(T+D)@sg,1522412025000,2018-03-30 20:13:45.000000,LIMIT,ASK,3594.0,10
72,Ag(T+D)@sg,1522412035000,2018-03-30 20:13:55.000000,LIMIT,ASK,3594.0,10
73,Ag(T+D)@sg,1522412045000,2018-03-30 20:14:05.000000,LIMIT,ASK,3594.0,10
74,Ag(T+D)@sg,1522412055000,2018-03-30 20:14:15.000000,LIMIT,ASK,3594.0,10
75,Ag(T+D)@sg,1522412065000,2018-03-30 20:14:25.000000,LIMIT,ASK,3594.0,10
76,Ag(T+D)@sg,1522412075000,2018-03-30 20:14:35.000000,LIMIT,ASK,3594.0,10
77,Ag(T+D)@sg,1522412085000,2018-03-30 20:14:45.000000,LIMIT,ASK,3594.0,10
78,Ag(T+D)@sg,1522412095000,2018-03-30 20:14:55.000000,LIMIT,ASK,3594.0,10
79,Ag(T+D)@sg,1522412795000,2018-03-30 20:26:35.000000,LIMIT,BID,3592.0,10
80,Ag(T+D)@sg,1522412805000,2018-03-30 20:26:45.000000,LIMIT,BID,3592.0,10
81,Ag(T+D)@sg,1522412815000,2018-03-30 20:26:55.000000,LIMIT,BID,3592.0,10
82,Ag(T+D)@sg,1522412825000,2018-03-30 20:27:05.000000,LIMIT,BID,3592.0,10
83,Ag(T+D)@sg,1522412835000,2018-03-30 20:27:15.000000,LIMIT,BID,3592.0,10
84,Ag(T+D)@sg,1522412845000,2018-03-30 20:27:25.000000,LIMIT,BID,3592.0,10
85,Ag(T+D)@sg,1522412855000,2018-03-30 20:27:35.000000,LIMIT,ASK,3593.0,10
86,Ag(T+D)@sg,1522412865000,2018-03-30 20:27:45.000000,LIMIT,ASK,3593.0,10
87,Ag(T+D)@sg,1522412875000,2018-03-30 20:27:55.000000,LIMIT,ASK,3593.0,10
88,Ag(T+D)@sg,1522412885000,2018-03-30 20:28:05.000000,LIMIT,ASK,3593.0,10
89,Ag(T+D)@sg,1522412895000,2018-03-30 20:28:15.000000,LIMIT,ASK,3593.0,10
90,Ag(T+D)@sg,1522412905000,2018-03-30 20:28:25.000000,LIMIT,ASK,3593.0,10
91,Ag(T+D)@sg,1522412915000,2018-03-30 20:28:35.000000,LIMIT,ASK,3593.0,10
92,Ag(T+D)@sg,1522412925000,2018-03-30 20:28:45.000000,LIMIT,ASK,3593.0,10
93,Ag(T+D)@sg,1522412935000,2018-03-30 20:28:55.000000,LIMIT,ASK,3593.0,10
