id,ts,time,dataset,cash,inventory,bid,ask,pnl
0,1522425595000,2018-03-30 23:59:55.000000,Ag(T+D)@sg,-251980.0085,70,3602.0,3603.0,-8.406339
1,1522511995000,2018-03-31 23:59:55.000000,Ag(T+D)@sg,-359940.016,100,3602.0,3603.0,47.974762
2,1522598395000,2018-04-01 23:59:55.000000,Ag(T+D)@sg,-359940.016,100,3602.0,3603.0,47.974762
3,1522684795000,2018-04-02 23:59:55.000000,Ag(T+D)@sg,-322930.0565,90,3619.0,3620.0,2551.665693
4,1522771195000,2018-04-03 23:59:55.000000,Ag(T+D)@sg,-33360.0995,10,3601.0,3602.0,2629.665007
5,1522826995000,2018-04-04 15:29:55.000000,Ag(T+D)@sg,38809.8855,-10,3605.0,3606.0,2725.061299
